objective,処理時間
273.3812687272365,44.370575189590454
267.75167743804286,42.96747446060181
293.72454876560505,40.759392738342285
291.9586113234784,40.46815061569214
294.6548965045658,40.27210283279419
278.4870957172502,42.24802279472351
274.8180151859784,43.35963296890259
276.2525962894548,42.402021408081055
270.62908793906615,42.79073405265808
265.7203225239685,43.52916741371155
286.532344994278,41.54860997200012
278.0227932133207,43.47933077812195
288.51410092644915,41.98855519294739
285.78187844569277,41.99620723724365
281.9159785173964,41.902077436447144
292.436575509642,43.87248349189758
288.82598331346844,41.85288953781128
271.7401241280409,43.47468018531799
293.1975364335269,42.92552638053894
279.41410520017666,41.07118535041809
