objective,処理時間
277.33394906666535,20.707561492919922
279.91570309940215,14.46425747871399
291.29151570119996,16.470661640167236
294.5100456339125,14.711381912231445
280.69713517800074,13.702122926712036
280.5004012555262,14.566650629043579
283.6887301805888,15.635067224502563
302.74283557070885,14.999069929122925
300.91155283514337,15.132841348648071
289.2535507552626,13.970372676849365
269.32358765177673,13.953991889953613
298.59964195660746,15.143634796142578
288.9746662931112,13.78987455368042
308.0182440678288,15.88100266456604
284.31490248778425,15.452018022537231
280.9057833030215,16.397900342941284
284.75817350383926,23.88863444328308
280.966778891585,14.529107332229614
264.76952737322466,15.124455213546753
295.2026744036963,17.875722408294678
